Split_Strategy,Target,Well,Model_Type,Train_R2,Train_MAE,Train_RMSE,Train_MAPE,Test_R2,Test_MAE,Test_RMSE,Test_MAPE
Intra_Well,AP,A,Improvement_RF_vs_LR,,,,,-13.9852,-4.0684,-4.2540,-1.5094
Intra_Well,AP,A,LR,0.8798,1.3076,1.6442,0.5021,-0.6080,1.6878,2.0123,0.6277
Intra_Well,AP,A,RF,0.9882,0.3435,0.5159,0.1311,-14.5933,5.7562,6.2663,2.1370
Intra_Well,AP,B,Improvement_RF_vs_LR,,,,,0.4405,0.2637,0.2690,0.0983
Intra_Well,AP,B,LR,0.6373,1.1789,1.4959,0.4456,-0.2381,1.0980,1.3630,0.4117
Intra_Well,AP,B,RF,0.9732,0.2303,0.4064,0.0870,0.2024,0.8343,1.0940,0.3134
Intra_Well,AP,C,Improvement_RF_vs_LR,,,,,-0.4326,-0.4512,-0.5104,-0.1657
Intra_Well,AP,C,LR,0.8675,1.7412,2.3117,0.6436,0.4306,1.1313,1.5632,0.4225
Intra_Well,AP,C,RF,0.9903,0.3949,0.6268,0.1471,-0.0020,1.5826,2.0736,0.5882
Intra_Well,AP,D,Improvement_RF_vs_LR,,,,,-4.1991,-2.4717,-2.6236,-0.9213
Intra_Well,AP,D,LR,0.8661,1.8854,2.4892,0.7141,-2.1228,4.4603,4.9388,1.6752
Intra_Well,AP,D,RF,0.9849,0.4862,0.8367,0.1825,-6.3219,6.9319,7.5624,2.5965
Intra_Well,SPP,A,Improvement_RF_vs_LR,,,,,0.6374,2.1342,2.5030,1.7955
Intra_Well,SPP,A,LR,0.6473,5.5344,7.3258,5.1658,-0.2918,6.6444,8.6839,5.3597
Intra_Well,SPP,A,RF,0.9703,1.2773,2.1253,1.1834,0.3456,4.5102,6.1809,3.5642
Intra_Well,SPP,B,Improvement_RF_vs_LR,,,,,-0.3365,-3.5205,-0.7485,-2.4981
Intra_Well,SPP,B,LR,0.1997,4.3357,6.6328,3.6467,-0.3413,3.1952,6.3208,2.6003
Intra_Well,SPP,B,RF,0.9458,0.7760,1.7266,0.6506,-0.6778,6.7157,7.0692,5.0984
Intra_Well,SPP,C,Improvement_RF_vs_LR,,,,,-0.6420,-0.8971,-2.3160,-0.6407
Intra_Well,SPP,C,LR,0.8589,4.3018,6.4383,3.6567,0.2098,5.7310,6.6879,4.9179
Intra_Well,SPP,C,RF,0.9862,1.0539,2.0121,0.9017,-0.4322,6.6282,9.0039,5.5586
Intra_Well,SPP,D,Improvement_RF_vs_LR,,,,,0.8105,4.7074,2.7592,3.8759
Intra_Well,SPP,D,LR,0.7414,8.9082,11.9266,8.1809,-1.8333,16.8702,17.7956,14.2172
Intra_Well,SPP,D,RF,0.9820,1.7173,3.1460,1.4620,-1.0228,12.1628,15.0364,10.3413
Leave_One_Out,AP,A,Improvement_RF_vs_LR,,,,,-0.0955,-0.5017,-0.5513,-0.1883
Leave_One_Out,AP,A,LR,0.7696,2.2488,3.0191,0.8395,0.8290,1.6516,2.2190,0.6307
Leave_One_Out,AP,A,RF,0.9790,0.5663,0.9120,0.2120,0.7335,2.1533,2.7703,0.8190
Leave_One_Out,AP,B,Improvement_RF_vs_LR,,,,,-0.7138,-0.2350,-0.5487,-0.0905
Leave_One_Out,AP,B,LR,0.8098,2.0958,2.8045,0.7864,-0.9411,2.7976,3.2371,1.0566
Leave_One_Out,AP,B,RF,0.9802,0.5815,0.9061,0.2187,-1.6548,3.0325,3.7858,1.1470
Leave_One_Out,AP,C,Improvement_RF_vs_LR,,,,,-0.4567,-1.4801,-1.5669,-0.5432
Leave_One_Out,AP,C,LR,0.8151,1.8847,2.4820,0.7133,0.4895,2.9976,4.1621,1.0932
Leave_One_Out,AP,C,RF,0.9801,0.5147,0.8136,0.1943,0.0328,4.4776,5.7290,1.6364
Leave_One_Out,AP,D,Improvement_RF_vs_LR,,,,,-0.1800,-0.6909,-0.7510,-0.2574
Leave_One_Out,AP,D,LR,0.8437,1.8412,2.4795,0.6893,0.5369,2.9796,4.2084,1.1265
Leave_One_Out,AP,D,RF,0.9840,0.5237,0.7939,0.1969,0.3569,3.6704,4.9594,1.3839
Leave_One_Out,SPP,A,Improvement_RF_vs_LR,,,,,-0.4911,-2.3368,-3.5971,-1.8068
Leave_One_Out,SPP,A,LR,0.6452,8.6134,11.3512,7.2455,0.4567,7.3457,9.4710,6.7295
Leave_One_Out,SPP,A,RF,0.9673,2.0174,3.4468,1.7036,-0.0344,9.6825,13.0680,8.5363
Leave_One_Out,SPP,B,Improvement_RF_vs_LR,,,,,-0.0176,-1.1024,-0.0627,-0.7551
Leave_One_Out,SPP,B,LR,0.6360,8.3696,10.9422,7.1896,-0.0850,4.9888,7.7774,4.1472
Leave_One_Out,SPP,B,RF,0.9592,2.1811,3.6630,1.8798,-0.1026,6.0912,7.8401,4.9023
Leave_One_Out,SPP,C,Improvement_RF_vs_LR,,,,,0.1421,1.6806,1.5236,1.5840
Leave_One_Out,SPP,C,LR,0.6263,8.5202,11.1348,7.4862,0.3812,10.8786,12.4634,8.9439
Leave_One_Out,SPP,C,RF,0.9629,2.1852,3.5086,1.9141,0.5232,9.1980,10.9398,7.3599
Leave_One_Out,SPP,D,Improvement_RF_vs_LR,,,,,0.0424,1.2099,0.5441,0.0888
Leave_One_Out,SPP,D,LR,0.7160,5.5325,7.5690,4.8565,0.2903,14.1341,17.9547,13.0716
Leave_One_Out,SPP,D,RF,0.9684,1.4843,2.5265,1.2852,0.3327,12.9242,17.4107,12.9828
