variant_name,well_id,metric_name,n_drill_samples,n_warning_samples,prop_warning,n_runs,mean_run_length,max_run_length,min_run_length
z_spp_segment,A,warning_SPP_trend_seg,2496,233,0.09334935897435898,14,16.642857142857142,33,6
z_spp_global,A,warning_SPP_trend,2496,320,0.1282051282051282,11,29.09090909090909,128,8
z_diff,A,warning_diff,2496,252,0.10096153846153846,7,36.0,84,10
z_common,A,warning_common,2496,558,0.22355769230769232,11,50.72727272727273,245,6
z_AP_actual_SPP,A,warning_AP_trend,2496,268,0.10737179487179487,11,24.363636363636363,99,7
z_AP_predicted_SPP,A,temp_warning,2496,288,0.11538461538461539,8,36.0,78,7
rolling_z_AP_actual_SPP,A,warning_AP_trend,2496,268,0.10737179487179487,11,24.363636363636363,99,7
rolling_z_AP_predicted_SPP,A,temp_warning,2496,288,0.11538461538461539,8,36.0,78,7
rolling_z_common,A,warning_common,2496,558,0.22355769230769232,11,50.72727272727273,245,6
rolling_z_diff,A,warning_diff,2496,252,0.10096153846153846,7,36.0,84,10
z_spp_segment,B,warning_SPP_trend_seg,523,48,0.09177820267686425,3,16.0,22,13
z_spp_global,B,warning_SPP_trend,523,56,0.10707456978967496,3,18.666666666666668,20,16
z_diff,B,warning_diff,523,43,0.08221797323135756,1,43.0,43,43
z_common,B,warning_common,523,116,0.22179732313575526,5,23.2,40,11
z_AP_actual_SPP,B,warning_AP_trend,523,44,0.0841300191204589,1,44.0,44,44
z_AP_predicted_SPP,B,temp_warning,523,57,0.1089866156787763,4,14.25,19,10
rolling_z_AP_actual_SPP,B,warning_AP_trend,523,44,0.0841300191204589,1,44.0,44,44
rolling_z_AP_predicted_SPP,B,temp_warning,523,57,0.1089866156787763,4,14.25,19,10
rolling_z_common,B,warning_common,523,116,0.22179732313575526,5,23.2,40,11
rolling_z_diff,B,warning_diff,523,43,0.08221797323135756,1,43.0,43,43
z_spp_segment,C,warning_SPP_trend_seg,1762,141,0.08002270147559591,15,9.4,16,5
z_spp_global,C,warning_SPP_trend,1762,214,0.12145289443813848,7,30.571428571428573,65,5
z_diff,C,warning_diff,1762,491,0.27866061293984107,6,81.83333333333333,302,8
z_common,C,warning_common,1762,407,0.23098751418842225,4,101.75,237,33
z_AP_actual_SPP,C,warning_AP_trend,1762,315,0.17877412031782067,7,45.0,109,7
z_AP_predicted_SPP,C,temp_warning,1762,358,0.20317820658342792,3,119.33333333333333,224,54
rolling_z_AP_actual_SPP,C,warning_AP_trend,1762,315,0.17877412031782067,7,45.0,109,7
rolling_z_AP_predicted_SPP,C,temp_warning,1762,358,0.20317820658342792,3,119.33333333333333,224,54
rolling_z_common,C,warning_common,1762,407,0.23098751418842225,4,101.75,237,33
rolling_z_diff,C,warning_diff,1762,491,0.27866061293984107,6,81.83333333333333,302,8
z_spp_segment,D,warning_SPP_trend_seg,4132,467,0.11302032913843175,26,17.96153846153846,52,5
z_spp_global,D,warning_SPP_trend,4132,350,0.08470474346563407,7,50.0,115,12
z_diff,D,warning_diff,4132,444,0.1074540174249758,9,49.333333333333336,84,11
z_common,D,warning_common,4132,1107,0.26790900290416264,10,110.7,444,5
z_AP_actual_SPP,D,warning_AP_trend,4132,386,0.09341723136495644,9,42.888888888888886,75,5
z_AP_predicted_SPP,D,temp_warning,4132,585,0.1415779283639884,5,117.0,192,26
rolling_z_AP_actual_SPP,D,warning_AP_trend,4132,386,0.09341723136495644,9,42.888888888888886,75,5
rolling_z_AP_predicted_SPP,D,temp_warning,4132,585,0.1415779283639884,5,117.0,192,26
rolling_z_common,D,warning_common,4132,1107,0.26790900290416264,10,110.7,444,5
rolling_z_diff,D,warning_diff,4132,444,0.1074540174249758,9,49.333333333333336,84,11
z_spp_segment,all_wells,warning_SPP_trend_seg,8913,889,0.09974194996073152,57,15.596491228070175,52,5
z_spp_global,all_wells,warning_SPP_trend,8913,940,0.10546392909233704,28,33.57142857142857,128,5
z_diff,all_wells,warning_diff,8913,1230,0.1380006731740155,22,55.90909090909091,302,8
z_common,all_wells,warning_common,8913,2188,0.24548412431280153,30,72.93333333333334,444,5
z_AP_actual_SPP,all_wells,warning_AP_trend,8913,1017,0.1141029956243689,28,36.32142857142857,109,5
z_AP_predicted_SPP,all_wells,temp_warning,8913,1288,0.14450802199035118,20,64.4,224,7
rolling_z_AP_actual_SPP,all_wells,warning_AP_trend,8913,1017,0.1141029956243689,28,36.32142857142857,109,5
rolling_z_AP_predicted_SPP,all_wells,temp_warning,8913,1288,0.14450802199035118,20,64.4,224,7
rolling_z_common,all_wells,warning_common,8913,2188,0.24548412431280153,30,72.93333333333334,444,5
rolling_z_diff,all_wells,warning_diff,8913,1230,0.1380006731740155,22,55.90909090909091,302,8
